Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
XO-6,F5,6720,1.93,1.47,0.536,4.04,1.88
XO-7,G0 V,6250,1.48,1.41,0.431,4.25,1.18
YSES 2,K1 V,4749,1.19,1.1,-0.185,4.25,0.014
alf Ari,K2III,4553,13.9,1.5,1.934,2.49,
alf Tau,K5 III,4055,45.1,1.13,2.672,1.2,6.6
b Cen A,B2.5 V,,,5.5,,,0.015
bet Cnc,K4 III,4092.1,47.2,1.7,2.9,1.4,1.85
bet UMi,K4 III,4126,38.3,1.4,2.73,1.5,2.95
eps CrB,K2 III,4406,21,1.7,2.235,1.94,1.74
eps Eri,K2 V,5020.38,0.76,0.82,-0.419,4.59,0.6
eps Ind A,K2 V,4754,0.78,0.75,-0.622,4.57,4.7
eps Tau,K0 III,4901,13.7,2.7,1.987,2.67,
gam Cep,K1 IV,4888,4.9,1.4,1.073,3.33,5.4
gam Psc,G7 III,4742,11.2,0.99,1.766,2.33,
gam1 Leo,K1 IIIb Fe-0.5,4330,31.88,1.23,2.51,1.66,2.412
kap And,B9 IV,10900,2.31,2.6,1.83,3.78,0.03
kap CrB,K0 III-IV,4970,4.71,1.8,1.084,3.47,2.5
mu Leo,K2 III,4538.2,11.4,1.5,1.797,2.4,3.35
mu2 Sco,B2 IV,21700,5.6,9.1,3.8,3.8,0.02
nu Oct A,K1 IIIb-IV,4860,5.81,1.61,1.23,3.12,2.8
ome Ser,G8 III,4770,12.3,2.17,1.85,2.32,
omi CrB,K0,4749,10.5,2.13,1.709,2.65,7.827
omi UMa,G5 III,5242,14.1,3.09,2.14,,
psi1 Dra B,G0 V,6212,1.26,1.19,0.326,4.2,3.3
tau Boo,F7 V,6466.27,1.43,1.32,0.505,4.25,2
tau Gem,K2 III,4388,26.8,2.3,2.519,1.96,1.22
ups Leo,G9 III,4836,11.22,1.48,1.8,2.46,
xi Aql,G9 III,4780,12,2.2,1.839,2.66,7.1
